Orpha_code	Orphanet_disorder	ICD_10	Relationship
487	Krabbe disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166260	Dentinogenesis imperfecta type 2	K00.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166265	Dentinogenesis imperfecta type 3	K00.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
583	Mucopolysaccharidosis type 6	E76.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166272	Odontochondrodysplasia	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
576	Mucolipidosis type II	E77.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
812	Sialidosis type 1	E77.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166282	Familial sick sinus syndrome	I49.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
578	Mucolipidosis type IV	E75.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166286	Porokeratotic eccrine ostial and dermal duct nevus	Q82.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
577	Mucolipidosis type III	E77.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166291	Dirofilariasis	B74.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166295	Benign non-familial infantile seizures	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166308	Benign infantile focal epilepsy with midline spikes and waves during sleep	G40.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166305	Benign infantile seizures associated with mild gastroenteritis	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2912	Poliomyelitis	A80.4	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2912	Poliomyelitis	A80.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2912	Poliomyelitis	A80.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2912	Poliomyelitis	A80.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2912	Poliomyelitis	A80.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2912	Poliomyelitis	A80.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
166302	Benign partial epilepsy with secondarily generalized seizures in infancy	G40.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166299	Benign partial epilepsy of infancy with complex partial seizures	G40.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
796	Sandhoff disease	E75.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166409	Photosensitive epilepsy	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
461	Recessive X-linked ichthyosis	Q80.1	E (Exact mapping: the two concepts are equivalent)
166421	Orgasm-induced seizures	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166418	Eating reflex epilepsy	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166415	Audiogenic seizures	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
584	Mucopolysaccharidosis type 7	E76.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166412	Hot water reflex epilepsy	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166433	Reading seizures	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166430	Micturation-induced seizures	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
881	Turner syndrome	Q96.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
881	Turner syndrome	Q96.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
881	Turner syndrome	Q96.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
881	Turner syndrome	Q96.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
881	Turner syndrome	Q96.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
881	Turner syndrome	Q96.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
881	Turner syndrome	Q96.4	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
166427	Startle epilepsy	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166424	Thinking seizures	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
95	Friedreich ataxia	G11.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
848	Beta-thalassemia	D56.1	E (Exact mapping: the two concepts are equivalent)
846	Alpha-thalassemia	D56.0	E (Exact mapping: the two concepts are equivalent)
586	Cystic fibrosis	E84.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
586	Cystic fibrosis	E84.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
586	Cystic fibrosis	E84.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
586	Cystic fibrosis	E84.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
262	Duchenne and Becker muscular dystrophy	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261	Emery-Dreifuss muscular dystrophy	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
550	MELAS	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
269	Facioscapulohumeral dystrophy	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
480	Kearns-Sayre syndrome	H49.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163898	Classic paraneoplastic limbic encephalitis	G13.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
593	Myofibrillar myopathy	G71.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163895	Paraneoplastic limbic encephalitis	G13.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163908	Limbic encephalitis with LGI1 antibodies	G04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163903	Limbic encephalitis associated with antibodies to cell membrane antigens	G13.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
551	MERRF	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
597	Central core disease	G71.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
607	Nemaline myopathy	G71.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
684	Paramyotonia congenita of Von Eulenburg	G71.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163931	Acrodermatitis continua of Hallopeau	L40.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
273	Steinert myotonic dystrophy	G71.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163927	Pustulosis palmaris et plantaris	L40.3	E (Exact mapping: the two concepts are equivalent)
163937	X-linked intellectual disability, Najm type	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163934	Atopic keratoconjunctivitis	H16.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163924	Non-herpetic acute limbic encephalitis	G04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
614	Thomsen and Becker disease	G71.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163921	Posttransplant acute limbic encephalitis	G04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163971	X-linked intellectual disability, Cilliers type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163976	X-linked intellectual disability, Van Esch type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163979	X-linked intellectual disability-craniofacioskeletal syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163953	X-linked intellectual disability, Raymond type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163956	X-linked intellectual disability, Nascimento type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163961	X-linked cerebral-cerebellar-coloboma syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
164004	Middle ear anomaly	Q16.4	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
164004	Middle ear anomaly	Q16.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
164726	Acute myeloid leukemia and myelodysplastic syndromes related to radiation	D46	ND (not yet decided/unable to decide)
324	Fabry disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163985	Hyperekplexia-epilepsy syndrome	G25.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
778	Rett syndrome	F84.2	E (Exact mapping: the two concepts are equivalent)
72	Angelman syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
307	Juvenile myoclonic epilepsy	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
1941	Juvenile absence epilepsy	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
892	Von Hippel-Lindau disease	Q85.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
164823	Rare acquired aplastic anemia	D61.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
164823	Rare acquired aplastic anemia	D61.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
731	Autosomal recessive polycystic kidney disease	Q61.1	E (Exact mapping: the two concepts are equivalent)
164736	Familial advanced sleep-phase syndrome	G47.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
138	CHARGE syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
558	Marfan syndrome	Q87.4	E (Exact mapping: the two concepts are equivalent)
165805	Familial mesial temporal lobe epilepsy with febrile seizures	G40.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
803	Amyotrophic lateral sclerosis	G12.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
100	Ataxia-telangiectasia	G11.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
733	Familial adenomatous polyposis	D12.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
399	Huntington disease	G10	E (Exact mapping: the two concepts are equivalent)
165955	Wound myiasis	B87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
501	Lafora disease	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
870	Down syndrome	Q90.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
870	Down syndrome	Q90.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
870	Down syndrome	Q90.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
870	Down syndrome	Q90.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
165958	Cavitary myiasis	B87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
512	Metachromatic leukodystrophy	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
166011	Multiple epiphyseal dysplasia, Beighton type	Q77.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567	22q11.2 deletion syndrome	D82.1	E (Exact mapping: the two concepts are equivalent)
166016	Multiple epiphyseal dysplasia, Lowry type	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
232	Sickle cell anemia	D57.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
232	Sickle cell anemia	D57.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
232	Sickle cell anemia	D57.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
536	Systemic lupus erythematosus	M32.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
536	Systemic lupus erythematosus	M32.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
536	Systemic lupus erythematosus	M32.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
536	Systemic lupus erythematosus	M32.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	Q77.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
534	Oculocerebrorenal syndrome of Lowe	E72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
165988	Diazoxide-resistant diffuse hyperinsulinism	E16.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
790	Retinoblastoma	C69.2	E (Exact mapping: the two concepts are equivalent)
165991	Exercise-induced hyperinsulinism	E16.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
652	Multiple endocrine neoplasia type 1	D44.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
165985	Diazoxide-sensitive diffuse hyperinsulinism	E16.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
908	Fragile X syndrome	Q99.2	E (Exact mapping: the two concepts are equivalent)
3099	Rheumatic fever	I00	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
3099	Rheumatic fever	I01.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
3099	Rheumatic fever	I01.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
3099	Rheumatic fever	I01.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
3099	Rheumatic fever	I01.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
3099	Rheumatic fever	I01.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
739	Prader-Willi syndrome	Q87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
47	X-linked agammaglobulinemia	D80.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
580	Mucopolysaccharidosis type 2	E76.1	E (Exact mapping: the two concepts are equivalent)
579	Mucopolysaccharidosis type 1	E76.0	E (Exact mapping: the two concepts are equivalent)
905	Wilson disease	E83.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163209	Non-syndromic cerebral malformation due to abnormal neuronal migration	Q04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
792	X-linked retinoschisis	Q14.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163525	Subacute cutaneous lupus erythematosus	L93.1	E (Exact mapping: the two concepts are equivalent)
827	Stargardt disease	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163531	Chronic cutaneous lupus erythematosus	L93.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163531	Chronic cutaneous lupus erythematosus	L93.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
906	Wiskott-Aldrich syndrome	D82.0	E (Exact mapping: the two concepts are equivalent)
904	Williams syndrome	Q93.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
280	Wolf-Hirschhorn syndrome	Q93.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
162516	Isolated congenital nasal pyriform aperture stenosis	Q30.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
15	Achondroplasia	Q77.4	E (Exact mapping: the two concepts are equivalent)
96	Ataxia with vitamin E deficiency	G11.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
162526	Isolated congenital auditory ossicle malformation	Q16.3	E (Exact mapping: the two concepts are equivalent)
101	Dentatorubral pallidoluysian atrophy	G11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
783	Rubinstein-Taybi syndrome	Q87.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163649	Spondyloepiphyseal dysplasia, Nishimura type	Q77.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
631	Non-acquired isolated growth hormone deficiency	E23.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	D81.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163654	Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome	Q77.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
481	Kennedy disease	G12.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
664	Ornithine transcarbamylase deficiency	E72.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163668	Spondyloepiphyseal dysplasia, MacDermot type	Q77.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163662	Spondyloepiphyseal dysplasia, Reardon type	Q77.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
394	Classic homocystinuria	E72.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163665	Spondyloepiphyseal dysplasia tarda, Kohn type	Q77.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
508	Leprechaunism	E34.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
436	Hypophosphatasia	E83.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163596	Hb Bart's hydrops fetalis	D56.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
429	Hypochondroplasia	Q77.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
437	Hypophosphatemic rickets	E83.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
104	Leber hereditary optic neuropathy	H47.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163631	Bile acid synthesis defect with cholestasis and malabsorption	K76.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	Q03.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163634	Maffucci syndrome	Q78.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163717	Benign familial mesial temporal lobe epilepsy	G40.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163708	Cryptogenic late-onset epileptic spasms	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
636	Neurofibromatosis type 1	Q85.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163703	Febrile infection-related epilepsy syndrome	G40.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
649	Norrie disease	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163684	Leukoencephalopathy-dystonia-motor neuropathy syndrome	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163681	CNTNAP2-related developmental and epileptic encephalopathy	Q04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
379	Chronic granulomatous disease	D71	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
16	Blue cone monochromatism	H53.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163699	Alveolar soft tissue sarcoma	C49.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
644	NARP syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
637	Neurofibromatosis type 2	Q85.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163696	Action myoclonus-renal failure syndrome	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
181	X-linked hypohidrotic ectodermal dysplasia	Q82.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163693	2p21 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
163690	Hypotonia-cystinuria syndrome	E72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
337	Fibrodysplasia ossificans progressiva	M61.1	E (Exact mapping: the two concepts are equivalent)
3444	Watson syndrome	Q85.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
377	Gorlin syndrome	C44.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
648	Noonan syndrome	Q87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
281	Monosomy 5p	Q93.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	E29.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
214	Cystinuria	E72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
510	Lesch-Nyhan syndrome	E79.1	E (Exact mapping: the two concepts are equivalent)
524	Li-Fraumeni syndrome	C97	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
699	Pearson syndrome	D64.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
640	Hereditary neuropathy with liability to pressure palsies	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
60	Alpha-1-antitrypsin deficiency	E88.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
895	Waardenburg syndrome type 2	E70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
896	Waardenburg syndrome type 3	E70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
857	Townes-Brocks syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
894	Waardenburg syndrome type 1	E70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
682	Hyperkalemic periodic paralysis	G72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
800	Schwartz-Jampel syndrome	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
800	Schwartz-Jampel syndrome	G71.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
628	Diastrophic dysplasia	Q77.5	E (Exact mapping: the two concepts are equivalent)
673	Malaria	B54	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B51.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B51.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B52.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B52.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B52.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B53.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B53.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B53.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B50.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B50.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B50.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
673	Malaria	B51.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
681	Hypokalemic periodic paralysis	G72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
126	Blepharophimosis-ptosis-epicanthus inversus syndrome	Q10.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
107	BOR syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
774	Hereditary hemorrhagic telangiectasia	I78.0	E (Exact mapping: the two concepts are equivalent)
794	Saethre-Chotzen syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
710	Pfeiffer syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2869	Peutz-Jeghers syndrome	Q85.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
893	WAGR syndrome	C64	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
912	Zellweger syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
50	Aicardi syndrome	Q04.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
53	Albers-Schönberg osteopetrosis	Q78.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
14	Abetalipoproteinemia	E78.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
52	Alagille syndrome	Q44.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
167	Chédiak-Higashi syndrome	E70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
195	Cat-eye syndrome	Q92.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
207	Crouzon disease	Q75.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
