,Orpha_code,Orphanet_disorder,ICD_10,Relationship,Description,Genes,Orpha Code,ICD-11 code
63,461,Recessive X-linked ichthyosis,Q80.1,E (Exact mapping: the two concepts are equivalent),,,,
64,166421,Orgasm-induced seizures,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
65,166418,Eating reflex epilepsy,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
66,166415,Audiogenic seizures,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
67,584,Mucopolysaccharidosis type 7,E76.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
68,166412,Hot water reflex epilepsy,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
69,166433,Reading seizures,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
70,166430,Micturation-induced seizures,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
71,881,Turner syndrome,Q96.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
72,881,Turner syndrome,Q96.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
73,881,Turner syndrome,Q96.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
74,881,Turner syndrome,Q96.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
75,881,Turner syndrome,Q96.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
76,881,Turner syndrome,Q96.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
77,881,Turner syndrome,Q96.4,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
78,166427,Startle epilepsy,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
79,166424,Thinking seizures,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
80,95,Friedreich ataxia,G11.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
81,848,Beta-thalassemia,D56.1,E (Exact mapping: the two concepts are equivalent),,,,
82,846,Alpha-thalassemia,D56.0,E (Exact mapping: the two concepts are equivalent),,,,
83,586,Cystic fibrosis,E84.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
84,586,Cystic fibrosis,E84.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
85,586,Cystic fibrosis,E84.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
86,586,Cystic fibrosis,E84.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
87,262,Duchenne and Becker muscular dystrophy,G71.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
88,261,Emery-Dreifuss muscular dystrophy,G71.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
89,550,MELAS,G71.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
90,269,Facioscapulohumeral dystrophy,G71.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
91,480,Kearns-Sayre syndrome,H49.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
92,163898,Classic paraneoplastic limbic encephalitis,G13.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
93,593,Myofibrillar myopathy,G71.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
94,163895,Paraneoplastic limbic encephalitis,G13.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
95,163908,Limbic encephalitis with LGI1 antibodies,G04.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
96,163903,Limbic encephalitis associated with antibodies to cell membrane antigens,G13.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
97,551,MERRF,G71.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
98,597,Central core disease,G71.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
99,607,Nemaline myopathy,G71.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
100,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
101,684,Paramyotonia congenita of Von Eulenburg,G71.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
102,163931,Acrodermatitis continua of Hallopeau,L40.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
103,273,Steinert myotonic dystrophy,G71.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
104,163927,Pustulosis palmaris et plantaris,L40.3,E (Exact mapping: the two concepts are equivalent),,,,
105,163937,"X-linked intellectual disability, Najm type",Q04.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
106,163934,Atopic keratoconjunctivitis,H16.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
107,163924,Non-herpetic acute limbic encephalitis,G04.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
108,614,Thomsen and Becker disease,G71.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
109,163921,Posttransplant acute limbic encephalitis,G04.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
110,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
111,163971,"X-linked intellectual disability, Cilliers type",Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
112,163976,"X-linked intellectual disability, Van Esch type",Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
113,163979,X-linked intellectual disability-craniofacioskeletal syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
114,163953,"X-linked intellectual disability, Raymond type",Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
115,163956,"X-linked intellectual disability, Nascimento type",Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
116,163961,X-linked cerebral-cerebellar-coloboma syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
117,164004,Middle ear anomaly,Q16.4,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
118,164004,Middle ear anomaly,Q16.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
119,164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,D46,ND (not yet decided/unable to decide),,,,
120,324,Fabry disease,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
121,163985,Hyperekplexia-epilepsy syndrome,G25.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
122,778,Rett syndrome,F84.2,E (Exact mapping: the two concepts are equivalent),,,,
123,72,Angelman syndrome,Q93.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
124,307,Juvenile myoclonic epilepsy,G40.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
125,1941,Juvenile absence epilepsy,G40.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
126,892,Von Hippel-Lindau disease,Q85.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
127,164823,Rare acquired aplastic anemia,D61.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
128,164823,Rare acquired aplastic anemia,D61.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
129,731,Autosomal recessive polycystic kidney disease,Q61.1,E (Exact mapping: the two concepts are equivalent),,,,
130,164736,Familial advanced sleep-phase syndrome,G47.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
131,138,CHARGE syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
132,558,Marfan syndrome,Q87.4,E (Exact mapping: the two concepts are equivalent),,,,
133,165805,Familial mesial temporal lobe epilepsy with febrile seizures,G40.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
134,803,Amyotrophic lateral sclerosis,G12.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
135,100,Ataxia-telangiectasia,G11.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
136,733,Familial adenomatous polyposis,D12.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),"Familial Adenomatous Polyposis (FAP,  Gardner syndrome., Attenuated FAP)",APC,733.0,
137,399,Huntington disease,G10,E (Exact mapping: the two concepts are equivalent),,,,
138,165955,Wound myiasis,B87.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
139,501,Lafora disease,G40.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
140,870,Down syndrome,Q90.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
141,870,Down syndrome,Q90.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
142,870,Down syndrome,Q90.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
143,870,Down syndrome,Q90.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
144,165958,Cavitary myiasis,B87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
145,512,Metachromatic leukodystrophy,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
146,166011,"Multiple epiphyseal dysplasia, Beighton type",Q77.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
147,567,22q11.2 deletion syndrome,D82.1,E (Exact mapping: the two concepts are equivalent),,,,
148,166016,"Multiple epiphyseal dysplasia, Lowry type",Q78.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
149,232,Sickle cell anemia,D57.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
150,232,Sickle cell anemia,D57.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
151,232,Sickle cell anemia,D57.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
152,536,Systemic lupus erythematosus,M32.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
153,536,Systemic lupus erythematosus,M32.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
154,536,Systemic lupus erythematosus,M32.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
155,536,Systemic lupus erythematosus,M32.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
156,166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,Q77.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
157,534,Oculocerebrorenal syndrome of Lowe,E72.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
158,165988,Diazoxide-resistant diffuse hyperinsulinism,E16.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
159,790,Retinoblastoma,C69.2,E (Exact mapping: the two concepts are equivalent),,,,
160,165991,Exercise-induced hyperinsulinism,E16.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
161,652,Multiple endocrine neoplasia type 1,D44.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
162,165985,Diazoxide-sensitive diffuse hyperinsulinism,E16.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
163,908,Fragile X syndrome,Q99.2,E (Exact mapping: the two concepts are equivalent),,,,
164,3099,Rheumatic fever,I00,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
165,3099,Rheumatic fever,I01.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
166,3099,Rheumatic fever,I01.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
167,3099,Rheumatic fever,I01.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
168,3099,Rheumatic fever,I01.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
169,3099,Rheumatic fever,I01.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
170,739,Prader-Willi syndrome,Q87.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
171,47,X-linked agammaglobulinemia,D80.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
172,580,Mucopolysaccharidosis type 2,E76.1,E (Exact mapping: the two concepts are equivalent),,,,
173,579,Mucopolysaccharidosis type 1,E76.0,E (Exact mapping: the two concepts are equivalent),,,,
174,905,Wilson disease,E83.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
175,163209,Non-syndromic cerebral malformation due to abnormal neuronal migration,Q04.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
176,792,X-linked retinoschisis,Q14.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
177,163525,Subacute cutaneous lupus erythematosus,L93.1,E (Exact mapping: the two concepts are equivalent),,,,
178,827,Stargardt disease,H35.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
179,163531,Chronic cutaneous lupus erythematosus,L93.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
180,163531,Chronic cutaneous lupus erythematosus,L93.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
181,906,Wiskott-Aldrich syndrome,D82.0,E (Exact mapping: the two concepts are equivalent),,,,
182,904,Williams syndrome,Q93.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
183,280,Wolf-Hirschhorn syndrome,Q93.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
184,162516,Isolated congenital nasal pyriform aperture stenosis,Q30.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
185,15,Achondroplasia,Q77.4,E (Exact mapping: the two concepts are equivalent),,,,
186,96,Ataxia with vitamin E deficiency,G11.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
187,162526,Isolated congenital auditory ossicle malformation,Q16.3,E (Exact mapping: the two concepts are equivalent),,,,
188,101,Dentatorubral pallidoluysian atrophy,G11.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
189,783,Rubinstein-Taybi syndrome,Q87.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
190,163649,"Spondyloepiphyseal dysplasia, Nishimura type",Q77.7,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
191,631,Non-acquired isolated growth hormone deficiency,E23.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
192,276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,D81.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
193,163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,Q77.7,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
194,481,Kennedy disease,G12.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
195,664,Ornithine transcarbamylase deficiency,E72.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
196,163668,"Spondyloepiphyseal dysplasia, MacDermot type",Q77.7,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
197,163662,"Spondyloepiphyseal dysplasia, Reardon type",Q77.7,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
198,394,Classic homocystinuria,E72.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
199,163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",Q77.7,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
200,508,Leprechaunism,E34.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
201,436,Hypophosphatasia,E83.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
202,163596,Hb Bart's hydrops fetalis,D56.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
203,429,Hypochondroplasia,Q77.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
204,437,Hypophosphatemic rickets,E83.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
205,104,Leber hereditary optic neuropathy,H47.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
206,163631,Bile acid synthesis defect with cholestasis and malabsorption,K76.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
207,2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,Q03.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
208,163634,Maffucci syndrome,Q78.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
209,163717,Benign familial mesial temporal lobe epilepsy,G40.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
210,163708,Cryptogenic late-onset epileptic spasms,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
211,636,Neurofibromatosis type 1,Q85.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
212,163703,Febrile infection-related epilepsy syndrome,G40.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
213,649,Norrie disease,H35.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
214,163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
215,163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
216,163681,CNTNAP2-related developmental and epileptic encephalopathy,Q04.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
217,379,Chronic granulomatous disease,D71,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
218,16,Blue cone monochromatism,H53.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
219,163699,Alveolar soft tissue sarcoma,C49.9,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
220,644,NARP syndrome,E88.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
221,637,Neurofibromatosis type 2,Q85.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
222,163696,Action myoclonus-renal failure syndrome,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
223,181,X-linked hypohidrotic ectodermal dysplasia,Q82.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
224,163693,2p21 microdeletion syndrome,Q93.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
225,163690,Hypotonia-cystinuria syndrome,E72.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
226,337,Fibrodysplasia ossificans progressiva,M61.1,E (Exact mapping: the two concepts are equivalent),,,,
227,3444,Watson syndrome,Q85.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
228,377,Gorlin syndrome,C44.9,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
229,648,Noonan syndrome,Q87.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Noonan Syndrome ,"CBL, KRAS, NRAS, PTPN11, RAF1, SOS1",648.0,
230,281,Monosomy 5p,Q93.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
231,752,"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",E29.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
232,214,Cystinuria,E72.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
233,510,Lesch-Nyhan syndrome,E79.1,E (Exact mapping: the two concepts are equivalent),,,,
234,524,Li-Fraumeni syndrome,C97,NTBT (ORPHA code's Narrower Term maps to a Broader Term),Li-Fraumeni Syndrome (LFS),TP53,524.0,
235,699,Pearson syndrome,D64.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
236,640,Hereditary neuropathy with liability to pressure palsies,G60.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
237,60,Alpha-1-antitrypsin deficiency,E88.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
238,895,Waardenburg syndrome type 2,E70.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
239,896,Waardenburg syndrome type 3,E70.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
240,857,Townes-Brocks syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
241,894,Waardenburg syndrome type 1,E70.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
242,682,Hyperkalemic periodic paralysis,G72.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
243,800,Schwartz-Jampel syndrome,Q78.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
